,Coefficient
summit_elev,15.707529342769579
vertical_drop,0.12193851959176882
base_elev,16.716487239515445
trams,3.552713678800501e-15
fastEight,1.9539925233402755e-14
fastSixes,1.887379141862766e-14
fastQuads,2.5757174171303632e-14
quad,1.1846690482393365
triple,1.1265154955504362
double,0.8108827417582309
surface,0.7438960757214044
total_chairs,0.976306085243138
Runs,2.818243450924178
TerrainParks,0.5837281952749326
LongestRun_mi,0.021007143611287915
SkiableTerrain_ac,2.376513355003076
Snow Making_ac,0.21554869990754022
daysOpenLastYear,1.3998612646934105
yearsOpen,1.0034658658766369
averageSnowfall,0.9188628827464328
AdultWeekday,7.064256472314896
projectedDaysOpen,1.8386358135488468
NightSkiing_ac,1.344569141162575
clusters,1.9262662058974014
clusters.1,1.9262662058973552
